Algorithm,d_model,nhead,num_layers,l_lags,n_layers,n_heads,d_ffn,rnn_hidden_size,knn_neighbors,max_iter,tol
STAT (Proposed),"[64, 128]","[2, 4, 8]","{1, 2, 3}","{1, 2, 3, 4}",,,,,,,
SAITS,"[32, 64]",,,,"[2, 4]","[2, 4]","[64, 128]",,,,
iTransformer,"[32, 64]",,,,"[2, 4]","[2, 4]","[64, 128]",,,,
GRUD,,,,,,,,"[32, 64]",,,
USGAN,,,,,,,,"[32, 64]",,,
KNN,,,,,,,,, "{3, 5, 7}",,
MICE,,,,,,,,,,10,0.001
VCAAN,,,,,,,,,,8,0.0001
LOCF,,,,,,,,,,,
