Station,Lat,Lon,Height,X,Y,Z,TPI,ASPECT,SLOPE,STD,D_WE,D_SN,cluster
GOE,47.36314722,7.973733333,380.49,2640422.659,1245949.013,380.1265564,-2.358551025,169.1210022,0.660154998,0.0,-0.002174683,0.011315308,4
LEI,47.59736111,8.1882,341.08,2656374.631,1272121.638,341.03125,-5.101501465,312.9064331,2.188002348,15.05959,0.027984925,-0.026011048,4
MOA,47.24384722,8.232830556,453.04,2660128.781,1232851.634,452.1734619,-7.674133301,57.24610138,0.960122168,0.0,-0.014094238,-0.009067077,4
MOE,47.57219722,7.877911111,343.0,2633054.28,1269147.061,344.1125183,5.2371521,355.7396851,0.661833942,0.0,0.000858154,-0.011519776,4
RUE,47.43457222,7.879413889,611.17,2633253.199,1253845.868,609.6796875,26.78216553,219.5831146,0.260632277,0.0,0.00289856,0.003505859,4
WYN,47.255025,7.787475,421.99,2626405.96,1233848.967,421.5953064,-16.94430542,319.1063843,1.890798688,19.0674403,0.021611938,-0.024955139,4
BER,46.99074444,7.464061111,552.84,2601934.408,1204409.525,553.5828247,0.291015625,236.6768799,1.848528028,0.0,0.026967773,0.017730102,5
BRL,46.98384444,6.610297222,1050.0,2536981.87,1203975.814,1050.879639,-21.99487305,176.4099731,1.624758482,11.38216159,-0.001776123,0.028309327,5
CDF,47.08294722,6.792313889,1017.01,2550919.952,1214862.549,1018.967224,-27.18878174,140.1841431,3.037621498,15.0429329,-0.03397949,0.040760498,5
CHA,47.13176111,7.054366667,1594.2,2570846.202,1220158.299,1588.74231,119.3659668,206.0511322,2.808465481,66.49207061,0.02154419,0.044072267,5
CHM,47.04916944,6.978825,1136.0,2565060.995,1211007.347,1135.393799,90.53222656,294.1416626,2.91794467,92.10449428,0.046513673,-0.020847168,5
DEM,47.35170556,7.349566667,439.0,2593270.924,1244543.366,435.9468994,-4.339385986,350.0871582,2.391596794,15.27537054,0.007189942,-0.041141968,5
FAH,47.42381389,6.941194444,596.39,2562466.395,1252676.178,595.8734131,10.45880127,220.9663849,0.498823076,0.0,0.005708008,0.006574097,5
GRA,46.7714,7.113736111,650.6,2575184.005,1180076.531,646.2687378,23.23815918,100.5445938,2.227239847,21.140631,-0.038235474,0.00711731,5
GRE,47.17909722,7.415144444,427.9,2598219.858,1225349.4,428.5437622,-0.845977783,165.4093018,0.142429546,0.0,-0.000626221,0.002405701,5
KOP,47.11885,7.605502778,485.2,2612663.69,1218664.433,485.0,-0.189544678,334.2950439,0.525588036,0.0,0.003978882,-0.008265686,5
LAG,46.93963333,7.806425,743.8,2628004.423,1198792.505,746.0671997,-6.700073242,199.8831177,4.047384262,44.98590612,0.024064941,0.066539913,5
MUB,46.97327778,7.278216667,479.785,2587793.281,1202480.077,475.2156067,-39.24807739,184.0733337,1.678799033,31.38193578,0.002081909,0.029234923,5
NEU,47.00006667,6.953297222,485.0,2563087.396,1205560.3,483.234375,4.934753418,148.5630493,6.098656654,60.16085542,-0.05572632,0.091162108,5
PAY,46.81158056,6.942469444,490.0,2562131.032,1184611.891,488.3546753,5.935943604,307.2486267,1.793398142,0.0,0.024924012,-0.018951721,5
PLF,46.74771667,7.266263889,1042.49,2586828.311,1177406.631,1040.759399,66.23046875,139.4550934,1.888029933,23.54601969,-0.021428222,0.025049439,5
